code,label,desc
k,K,Kilian
rk,R,Reversed Kilian
ch,*,Changing
cl,C,Closed / Waltz
cs,S,Change Sides
cto,C2T,Closed to Outside
hh,H,Hand-to-Hand
f,F,Foxtrot
oc,C*,Offset Closed
op,O,Open
out,T,Outside
po,T*,Partial Outside
