code,label,desc
ce,,Change
cho,,Choctow Turn
co,X,Crossover
cr,CR,Cross Roll
ctr,,Counter Turn
mo,,Mohawk Turn
pr,,Progressive: Stroke
prx,,Progressive: Cross
rk,,Rocker Turn
sb,,Step Briefly
s,,Stroke
tt,,3-turn
wd,Wd,Wide Step
wdsb,,Wide Step Briefly
wdxb,Wd-XB,Wide Step Cross Behind
wdxf,Wd-XF,Wide Step Cross in Front
xb,XB,Cross Behind
xf,XF,Cross in Front
