index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,1,LFO,pr,ee,pr1,,k,
2,,1,RFI,prx,prx,pr1,,k,
3,,2,LFO,pr,ee,pr1,,k,
4,,4,RFO,s,s_swr,,,k,
5,,2,LFO,pr,ee,pr2,,k,
6,,1,RFI,prx,prx,pr2,,k,
7,,1,LFO,pr,ee,pr2,,k,
8,,2,RFI,prx,prx,pr2,,k,
9,,4,LFI,s,s_swr,,,k,
10,,4,RFI,s,s_swr,,,k,
11,,1,LFO,pr,ee,pr3,,k,
12,,1,RFI,prx,prx,pr3,,k,
13,,2,LFO,pr,ee,pr3,,k,
14,,2,RFI,xb,ee,,,k,
15,,2,LFO,,,,no,k,
15,,2,LFO,xb,ee,,yes,k,
16,,2,RFI,xb,ee,,,k,
