index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,2,LFO,pr,pr,pr1,,k,
2,,2,RFI,prx,prx,pr1,,k,
3,,1,LFI,,,,,k,
4,,1,RFO,,ch,,,k,
5,,2,LFI,wd,wd_e,,,k,
6,,4,RFO,s,bk,,,k,
7,2,1,RFI,,slm,s,,k,
,2,1,RFO,,slm,s,,k,
,2,2,RFI,,slm,s,,k,
8,2,1.5,RFO,,slme,s,,k,
9,,0.5,LFI,,ch,,,k,
10,,2,RFI,,,,,k,
11,,4,LFO,s,s_swr,,,k,
12,,2,RFO,,,,no,k,
12,,2,RFO,xf,xf_e,,yes,k,
13,,2,LFI,xb,xb_e,,,k,
14,,4,RFI,s,s_swr,,,k,
