index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold,labelOffset
,,3,,RFO,s,tt,,,,
,,3,+,RBI,tt,e,,,,
,,6,,LBO,s,ee,,,,
,,6,,RFO,s,ee,,,,
,,3,,LFO,s,tt,,,,
,,3,+,LBI,tt,e,,,,
,,6,,RBO,s,ee,,,,
,,6,,LFO,s,ee,,,,
