index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold
50,,0.5,,RBI,s,ee,,,
51a,,0.25,,LFO,s,ee,,,
51b,,0.25,,RBI,s,ee,,,
52,,0.5,,LFI,s,ee,,,
53,,0.5,,RBI,s,ee,,,
54,2,0.5,,LFI,s,ee,,,
55,,0.5,,RBO,s,ee,,,
56,,0.5,,LBI,s,ee,,,
,,0.5,,LBI,s,ee,,,
57,,0.5,,RFO,s,ee,,,
58,,0.5,,LFI,s,ee,,,
59,,0.25,,RFI,s,ee,,,
,,0.25,,RFI,s,ee,,,
60,,0.25,,LBI,s,ee,,,
,,0.25,,LBI,s,ee,,,
61,2,0.5,,RFI,s,ee,,,
62,,0.5,,LBO,s,ee,,,
63,,1,,RBI,s,ee,,,
,,0.5,,RFO,s,ee,,,
,,0.5,,RFO,s,ee,,,
64,2,2,,LFI,s,ee,,,
65,,1,,RBO,s,ee,,,
,,1,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
,,0.5,,RFI,s,ee,,,
,,0.5,,RBO,s,ee,,,
66,,0.25,,LFO,s,ee,,,
67,,0.25,,RFI,s,ee,,,
68,,0.5,,LFO,s,ee,,,
69,,0.5,,RFI,s,ee,,,
70,,1,,LFO,s,ee,,,
