index,pathCount,beats,beatGrouping,edge,transition,step,group,optional,hold,labelOffset
1,,1,,LFO,pr,ee,pr1,,rk,
2,,1,,RFI,prx,pr,pr1,,rk,
3,,1,,LFO,pr,ee,pr1,,rk,
4,,1,,RFI,,ch,,,rk,
5,,4,,LFO,s,swr,,,rk,
6,,2,,RFO,s,ee,,,rk,
7,,2,,LFI,,slch,,,rk,
8,,4,,RFO,s,swr,,,rk,
9,,2,,LFO,s,ee,,,rk,
10,,2,,RFI,,slch,,,rk,
11,,1,,LFO,pr,ee,pr2,,rk,
12,,1,,RFI,prx,pr,pr2,,rk,
13,,2,,LFO,pr,ee,pr2,,rk,
14,,4,,RFO,s,swr,,no,rk,
14,,4,,RFO,cr,ee,,yes,rk,
