index,pathCount,beats,edge,transition,step,group,optional,hold,labelOffset
1,,2,LFO,,,,,rk,
2,,2,RFO,,,,,rk,
3,,1,LFO,pr,pr,pr1,,rk,
4,,1,RFI,prx,prx,pr1,,rk,
5,,2,LFO,pr,pr,pr1,,rk,
6,,2,RFO,cr,cr_e,,,rk,
7,,2,LFI,xb,xb_e,,,rk,
8,,4,RFO,s,cesw,c,,rk,
,,2_,RFI,,Xce,c,,rk,
9,,2,LFO,,,,,rk,
10,,1,RFI,s,opmo,m,,rk,
11,,1,LBI,mo,mo_e,m,,rk,
12,,2,RBO,,,,,rk,
13,,2,LBI,,,,,rk,
14,,2,RBO,,,,,rk,
15,,2,LBI,xf,xf_e,,,rk,
16,,2,RFI,,,,,rk,
