code,label,desc
k,K,Kilian
rk,RK,Reversed Kilian
cl,Cl,Closed / Waltz
cto,Cl-O,Closed to Outside
hh,HH,Hand-to-Hand
f,F,Foxtrot
oc,OC,Offset Closed
op,Op,Open
out,Out,Outside
po,PO,Partial Outside
